VIN,Condition,Make,Type,Model,ModelYear,Mileage,Price,Color,StockNumber,Category,Engine,Image,Description
"VBKLDV401HM702923","U","KTM","SPORT","690 DUKE","2017","13331","6599.00","WHITE","2236","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2236_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2236_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2236_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2236_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2236_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2236_view7.jpg",""
"JYARM06E3GA006907","C","YAMAHA","SPORT","FZ07 Base","2016","9113","6999.00","BLACK","2254","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2254_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2254_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2254_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2254_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2254_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2254_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2254_view7.jpg",""
"L6JAGKLC4M1001387","N","KAYO","ATV","A150","2021","0","3000.00","BLACK","2263","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2263_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2263_view2.jpg",""
"JKAZR2C17JA007062","U","KAWASAKI","SPORT","ZR900","2018","15764","9899.00","ROOT BEER","2296","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2296_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2296_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2296_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2296_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2296_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2296_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2296_view7.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2296_view8.jpg",""
"JKAZRCG10FA006178","U","KAWASAKI","SPORT","Z1000","2015","52233","8995.00","GREEN","2297","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2297_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2297_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2297_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2297_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2297_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2297_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2297_view7.jpg",""
"JH2PC40J5DK000258","C","HONDA","SPORT","CBR600RR","2013","33710","8999.00","REPSOL","2360","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2360_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2360_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2360_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2360_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2360_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2360_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2360_view7.jpg",""
"JKAZXCM19FA006125","C","KAWASAKI","SPORT","ZX1000 NINJA","2015","18781","7899.00","BLACK","2368","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2368_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2368_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2368_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2368_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2368_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2368_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2368_view7.jpg",""
"JH2PC40H1HK300026","C","HONDA","SPORT","CBR600RR","2017","45959","9599.00","RED","2374","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2374_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2374_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2374_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2374_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2374_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2374_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2374_view7.jpg",""
"MLHJC6111F5103751","C","HONDA","SPORT","GROM","2015","2287","2999.00","WHITE","2376","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2376_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2376_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2376_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2376_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2376_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2376_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2376_view7.jpg",""
"L6JYGCLCXN1003036","N","KAYO","PIT BIKE","KMB60","2022","0","1299.00","WHITE","2393","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2393_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2393_view2.jpg",""
